               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.043949,            0.036569,           0.0015737,             0.98162,             0.99279,             0.99484,             0.62044,            0.018738,            0.010731,           0.0011221,            0.009604,            0.009604,            0.009604
                  82,            0.034643,            0.033152,           0.0014604,             0.98894,             0.99482,             0.99327,             0.59174,            0.015458,            0.012123,           0.0011362,            0.009599,            0.009599,            0.009599
                  83,            0.030189,            0.031349,           0.0013929,             0.96937,             0.97412,             0.97484,              0.3498,            0.029173,            0.011639,           0.0011056,           0.0095941,           0.0095941,           0.0095941
                  84,            0.042981,            0.036714,           0.0014479,             0.98979,             0.99548,             0.99499,             0.68745,            0.019395,            0.012527,           0.0011434,           0.0095892,           0.0095892,           0.0095892
                  85,            0.041703,            0.034221,           0.0015648,             0.99192,             0.99687,               0.995,             0.47599,            0.019353,            0.012022,           0.0010911,           0.0095842,           0.0095842,           0.0095842
                  86,            0.034412,            0.031945,           0.0017027,             0.98916,             0.99728,             0.99398,             0.56472,            0.014749,            0.011888,           0.0011048,           0.0095793,           0.0095793,           0.0095793
                  87,            0.030514,            0.031247,           0.0015495,             0.98168,             0.99689,             0.99315,             0.61216,            0.017368,            0.010662,           0.0010634,           0.0095743,           0.0095743,           0.0095743
                  88,            0.037751,            0.033819,           0.0012583,             0.98649,             0.99689,              0.9898,             0.47831,            0.020546,            0.009036,          0.00099588,           0.0095694,           0.0095694,           0.0095694
                  89,            0.041255,            0.036623,           0.0015303,             0.98599,              0.9965,             0.99147,             0.52269,            0.018309,           0.0087375,          0.00097899,           0.0095644,           0.0095644,           0.0095644
                  90,            0.031699,            0.032081,           0.0013617,             0.99108,             0.99713,              0.9943,             0.57185,            0.017106,           0.0095122,           0.0009544,           0.0095595,           0.0095595,           0.0095595
                  91,            0.027983,            0.032649,           0.0014221,             0.99347,             0.99479,             0.99293,             0.46165,            0.030646,           0.0092417,          0.00087056,           0.0095545,           0.0095545,           0.0095545
                  92,            0.043968,            0.037132,           0.0013007,              0.9878,             0.99689,             0.99419,             0.73932,            0.016763,           0.0090262,          0.00092734,           0.0095496,           0.0095496,           0.0095496
